id,custom_id,created_at,updated_at,version,created_by,question_text,genre,subgenre,level,type,difficulty,importance,answer,source,is_active
,,,,1.0,toshi,「私は英語を勉強します。」という文を英語にしなさい。,品詞の基本,一般動詞,0,free_writing,2,3,I study English.,ai_generated,TRUE
,,,,1.0,toshi,「彼は毎朝コーヒーを飲みます。」という文を英語にしなさい。,品詞の基本,一般動詞,0,free_writing,3,3,He drinks coffee every morning.,ai_generated,TRUE
,,,,1.0,toshi,「あなたはテレビを見ません。」という文を英語にしなさい。,品詞の基本,一般動詞,0,free_writing,2,3,You do not watch TV.,ai_generated,TRUE
,,,,1.0,toshi,「彼女はピアノを弾きません。」という文を英語にしなさい。,品詞の基本,一般動詞,0,free_writing,2,3,She does not play the piano.,ai_generated,TRUE
,,,,1.0,toshi,「あなたは本を読みますか？」という文を英語にしなさい。,品詞の基本,一般動詞,0,free_writing,2,3,Do you read books?,ai_generated,TRUE
,,,,1.0,toshi,「彼は毎日サッカーをしますか？」という文を英語にしなさい。,品詞の基本,一般動詞,0,free_writing,3,3,Does he play soccer every day?,ai_generated,TRUE
,,,,1.0,toshi,「私たちは図書館で勉強しました。」という文を英語にしなさい。,品詞の基本,一般動詞,0,free_writing,3,3,We studied in the library.,ai_generated,TRUE
,,,,1.0,toshi,「彼らは昨日、テレビを見ませんでした。」という文を英語にしなさい。,品詞の基本,一般動詞,0,free_writing,3,3,They did not watch TV yesterday.,ai_generated,TRUE
,,,,1.0,toshi,「あなたは昨日、宿題をしましたか？」という文を英語にしなさい。,品詞の基本,一般動詞,0,free_writing,3,3,Did you do your homework yesterday?,ai_generated,TRUE
,,,,1.0,toshi,「私は昨夜、コンピューターを使いませんでした。」という文を英語にしなさい。,品詞の基本,一般動詞,0,free_writing,3,3,I did not use the computer last night.,ai_generated,TRUE
,,,,1.0,toshi,次の英文には文法ミスがあります。正しく書き直しなさい：She play the piano.,品詞の基本,一般動詞,0,free_writing,2,3,She plays the piano.,ai_generated,TRUE
,,,,1.0,toshi,次の英文には文法ミスがあります。正しく書き直しなさい：He is like soccer.,品詞の基本,一般動詞,0,free_writing,2,3,He likes soccer.,ai_generated,TRUE
,,,,1.0,toshi,次の英文には文法ミスがあります。正しく書き直しなさい：Does she studies English?,品詞の基本,一般動詞,0,free_writing,3,3,Does she study English?,ai_generated,TRUE
,,,,1.0,toshi,次の英文には文法ミスがあります。正しく書き直しなさい：Tom watch TV every night.,品詞の基本,一般動詞,0,free_writing,3,3,Tom watches TV every night.,ai_generated,TRUE
,,,,1.0,toshi,次の英文には文法ミスがあります。正しく書き直しなさい：She cry every morning.,品詞の基本,一般動詞,0,free_writing,3,3,She cries every morning.,ai_generated,TRUE
,,,,1.0,toshi,次の英文には文法ミスがあります。正しく書き直しなさい：He is eats breakfast.,品詞の基本,一般動詞,0,free_writing,3,3,He eats breakfast. / He is eating breakfast.,ai_generated,TRUE
,,,,1.0,toshi,次の英文には文法ミスがあります。正しく書き直しなさい：Do she plays tennis?,品詞の基本,一般動詞,0,free_writing,3,3,Does she play tennis?,ai_generated,TRUE
,,,,1.0,toshi,次の英文には文法ミスがあります。正しく書き直しなさい：My sister don't study math.,品詞の基本,一般動詞,0,free_writing,3,3,My sister doesn't study math.,ai_generated,TRUE
,,,,1.0,toshi,次の英文には文法ミスがあります。正しく書き直しなさい：He go to school by bike.,品詞の基本,一般動詞,0,free_writing,2,3,He goes to school by bike.,ai_generated,TRUE
,,,,1.0,toshi,次の英文には文法ミスがあります。正しく書き直しなさい：She is study English now.,品詞の基本,一般動詞,0,free_writing,2,3,She is studying English now.,ai_generated,TRUE
,,,,1.0,toshi,「私は犬が好きです。」という文を英語にしなさい。,品詞の基本,一般動詞,0,free_writing,2,3,I like dogs.,ai_generated,TRUE
,,,,1.0,toshi,「彼は英語を知っています。」という文を英語にしなさい。,品詞の基本,一般動詞,0,free_writing,3,3,He knows English.,ai_generated,TRUE
,,,,1.0,toshi,「あなたはその映画を見ますか？」という文を英語にしなさい。,品詞の基本,一般動詞,0,free_writing,2,3,Do you watch the movie?,ai_generated,TRUE
,,,,1.0,toshi,「彼女は歌を歌いません。」という文を英語にしなさい。,品詞の基本,一般動詞,0,free_writing,2,3,She does not sing songs.,ai_generated,TRUE
,,,,1.0,toshi,「彼らは走ります。」という文を英語にしなさい。,品詞の基本,一般動詞,0,free_writing,1,3,They run.,ai_generated,TRUE
,,,,1.0,toshi,「私たちは歩きません。」という文を英語にしなさい。,品詞の基本,一般動詞,0,free_writing,2,3,We do not walk.,ai_generated,TRUE
,,,,1.0,toshi,「あなたのお父さんは写真を撮りますか？」という文を英語にしなさい。,品詞の基本,一般動詞,0,free_writing,3,3,Does your father take pictures?,ai_generated,TRUE
,,,,1.0,toshi,「彼女は映画を見ます。」という文を英語にしなさい。,品詞の基本,一般動詞,0,free_writing,1,3,She watches movies.,ai_generated,TRUE
,,,,1.0,toshi,「私は東京に住んでいます。」という文を英語にしなさい。,品詞の基本,一般動詞,0,free_writing,2,3,I live in Tokyo.,ai_generated,TRUE
,,,,1.0,toshi,「彼らは毎年、おじいさんを訪ねます。」という文を英語にしなさい。,品詞の基本,一般動詞,0,free_writing,3,3,They visit their grandfather every year.,ai_generated,TRUE
,,,,0.0,toshi,「私はりんごを食べました。」という文を英語にしなさい。,品詞の基本,過去形,0,free_writing,1,3,I ate an apple.,ai_generated,TRUE
,,,,1.0,toshi,「彼はボールを投げました。」という文を英語にしなさい。,品詞の基本,過去形,0,free_writing,1,3,He threw the ball.,ai_generated,TRUE
,,,,1.0,toshi,「あなたはその本を読みましたか？」という文を英語にしなさい。,品詞の基本,過去形,0,free_writing,2,3,Did you read the book?,ai_generated,TRUE
,,,,1.0,toshi,「彼女は手紙を書きませんでした。」という文を英語にしなさい。,品詞の基本,過去形,0,free_writing,2,3,She did not write a letter.,ai_generated,TRUE
,,,,1.0,toshi,「彼らは車を買いました。」という文を英語にしなさい。,品詞の基本,過去形,0,free_writing,2,3,They bought a car.,ai_generated,TRUE
,,,,1.0,toshi,「私はプレゼントをもらいました。」という文を英語にしなさい。,品詞の基本,過去形,0,free_writing,1,3,I got a present.,ai_generated,TRUE
,,,,1.0,toshi,「あなたはカメラを使いましたか？」という文を英語にしなさい。,品詞の基本,過去形,0,free_writing,2,3,Did you use the camera?,ai_generated,TRUE
,,,,1.0,toshi,「彼は写真を撮りませんでした。」という文を英語にしなさい。,品詞の基本,過去形,0,free_writing,2,3,He did not take a picture.,ai_generated,TRUE
,,,,1.0,toshi,「彼女は新しい靴を履きました。」という文を英語にしなさい。,品詞の基本,過去形,0,free_writing,2,3,She wore new shoes.,ai_generated,TRUE
,,,,1.0,toshi,「私たちは歌を歌いました。」という文を英語にしなさい。,品詞の基本,過去形,0,free_writing,1,3,We sang a song.,ai_generated,TRUE
,,,,1.0,toshi,「私は映画を見ました。」という文を英語にしなさい。,品詞の基本,過去形,0,free_writing,1,3,I saw a movie.,ai_generated,TRUE
,,,,1.0,toshi,「彼は鍵をなくしました。」という文を英語にしなさい。,品詞の基本,過去形,0,free_writing,2,3,He lost the key.,ai_generated,TRUE
,,,,1.0,toshi,「あなたはそのニュースを聞きましたか？」という文を英語にしなさい。,品詞の基本,過去形,0,free_writing,2,3,Did you hear the news?,ai_generated,TRUE
,,,,1.0,toshi,「彼女はその話を信じませんでした。」という文を英語にしなさい。,品詞の基本,過去形,0,free_writing,2,3,She did not believe the story.,ai_generated,TRUE
,,,,1.0,toshi,「私たちは試合に勝ちました。」という文を英語にしなさい。,品詞の基本,過去形,0,free_writing,1,3,We won the game.,ai_generated,TRUE
,,,,1.0,toshi,「彼は古い時計を売りました。」という文を英語にしなさい。,品詞の基本,過去形,0,free_writing,2,3,He sold an old watch.,ai_generated,TRUE
,,,,1.0,toshi,「あなたはその部屋を掃除しましたか？」という文を英語にしなさい。,品詞の基本,過去形,0,free_writing,2,3,Did you clean the room?,ai_generated,TRUE
,,,,1.0,toshi,「彼女は音楽を聞きませんでした。」という文を英語にしなさい。,品詞の基本,過去形,0,free_writing,2,3,She did not listen to music.,ai_generated,TRUE
,,,,1.0,toshi,「彼らは猫を飼っていました。」という文を英語にしなさい。,品詞の基本,過去形,0,free_writing,1,3,They had a cat.,ai_generated,TRUE
,,,,1.0,toshi,「私は先生に質問をしました。」という文を英語にしなさい。,品詞の基本,過去形,0,free_writing,2,3,I asked the teacher a question.,ai_generated,TRUE
,,,,1.0,toshi,「あなたは何を食べましたか？」という文を英語にしなさい。,品詞の基本,疑問詞,0,free_writing,2,3,What did you eat?,ai_generated,TRUE
,,,,1.0,toshi,「彼はどこに住んでいますか？」という文を英語にしなさい。,品詞の基本,疑問詞,0,free_writing,2,3,Where does he live?,ai_generated,TRUE
,,,,1.0,toshi,「彼女はなぜ泣いたのですか？」という文を英語にしなさい。,品詞の基本,疑問詞,0,free_writing,2,3,Why did she cry?,ai_generated,TRUE
,,,,1.0,toshi,「あなたはいつ宿題をしましたか？」という文を英語にしなさい。,品詞の基本,疑問詞,0,free_writing,2,3,When did you do your homework?,ai_generated,TRUE
,,,,1.0,toshi,「誰がその絵を描きましたか？」という文を英語にしなさい。,品詞の基本,疑問詞,0,free_writing,2,3,Who painted the picture?,ai_generated,TRUE
,,,,1.0,toshi,「彼らはどうやって学校に行きますか？」という文を英語にしなさい。,品詞の基本,疑問詞,0,free_writing,2,3,How do they go to school?,ai_generated,TRUE
,,,,1.0,toshi,「何色のペンを使いますか？」という文を英語にしなさい。,品詞の基本,疑問詞,0,free_writing,2,3,What color pen do you use?,ai_generated,TRUE
,,,,1.0,toshi,「どの教科が好きですか？」という文を英語にしなさい。,品詞の基本,疑問詞,0,free_writing,2,3,What subject do you like?,ai_generated,TRUE
,,,,1.0,toshi,「誰の本ですか？」という文を英語にしなさい。,品詞の基本,疑問詞,0,free_writing,2,3,Whose book is this?,ai_generated,TRUE
,,,,1.0,toshi,「誰がその夕食を作りましたか？」という文を英語にしなさい。,品詞の基本,疑問詞,0,free_writing,2,3,Who made the dinner?,ai_generated,TRUE
,,,,1.0,toshi,次の語を並べかえて、正しい英文を作りなさい：you / do / What / want?,品詞の基本,疑問詞,0,reorder,2,3,What do you want?,ai_generated,TRUE
,,,,1.0,toshi,次の語を並べかえて、正しい英文を作りなさい：Where / he / go / did / yesterday?,品詞の基本,疑問詞,0,reorder,2,3,Where did he go yesterday?,ai_generated,TRUE
,,,,1.0,toshi,次の語を並べかえて、正しい英文を作りなさい：does / When / he / play / soccer?,品詞の基本,疑問詞,0,reorder,2,3,When does he play soccer?,ai_generated,TRUE
,,,,1.0,toshi,次の語を並べかえて、正しい英文を作りなさい：Why / you / laugh / did?,品詞の基本,疑問詞,0,reorder,2,3,Why did you laugh?,ai_generated,TRUE
,,,,1.0,toshi,次の語を並べかえて、正しい英文を作りなさい：she / Who / is?,品詞の基本,疑問詞,0,reorder,2,3,Who is she?,ai_generated,TRUE
,,,,1.0,toshi,次の語を並べかえて、正しい英文を作りなさい：How / home / you / do / come?,品詞の基本,疑問詞,0,reorder,2,3,How do you come home?,ai_generated,TRUE
,,,,1.0,toshi,次の語を並べかえて、正しい英文を作りなさい：makes / you / What / happy?,品詞の基本,疑問詞,0,reorder,2,3,What makes you happy?,ai_generated,TRUE
,,,,1.0,toshi,次の語を並べかえて、正しい英文を作りなさい：is / What / your / color / favorite?,品詞の基本,疑問詞,0,reorder,2,3,What is your favorite color?,ai_generated,TRUE
,,,,1.0,toshi,次の語を並べかえて、正しい英文を作りなさい：live / you / do / Where?,品詞の基本,疑問詞,0,reorder,2,3,Where do you live?,ai_generated,TRUE
,,,,1.0,toshi,次の語を並べかえて、正しい英文を作りなさい：Whose / this / is / bag?,品詞の基本,疑問詞,0,reorder,2,3,Whose bag is this?,ai_generated,TRUE
,,,,1.0,toshi,次の文には誤りがあります。正しく直しなさい：Where you are from?,品詞の基本,疑問詞,0,error_check,2,3,Where are you from?,ai_generated,TRUE
,,,,1.0,toshi,次の文には誤りがあります。正しく直しなさい：What do likes he?,品詞の基本,疑問詞,0,error_check,2,3,What does he like?,ai_generated,TRUE
,,,,1.0,toshi,次の文には誤りがあります。正しく直しなさい：Why she is crying?,品詞の基本,疑問詞,0,error_check,2,3,Why is she crying?,ai_generated,TRUE
,,,,1.0,toshi,次の文には誤りがあります。正しく直しなさい：Who do made this bag?,品詞の基本,疑問詞,0,error_check,2,3,Who made this bag?,ai_generated,TRUE
,,,,1.0,toshi,次の文には誤りがあります。正しく直しなさい：How many apple do you have?,品詞の基本,疑問詞,0,error_check,2,3,How many apples do you have?,ai_generated,TRUE
,,,,1.0,toshi,Tomは親切です。彼は毎日掃除をします。,品詞の基本,代名詞,0,free_writing,2,2,Tom is kind. He cleans every day.,ai_generated,TRUE
,,,,1.0,toshi,私はあの車が好きです。,品詞の基本,代名詞,0,free_writing,2,2,I like that car.,ai_generated,TRUE
,,,,1.0,toshi,これは彼女のペンです。,品詞の基本,代名詞,0,free_writing,2,2,This is her pen.,ai_generated,TRUE
,,,,1.0,toshi,私たちは彼らに会いました。,品詞の基本,代名詞,0,free_writing,2,2,We met them.,ai_generated,TRUE
,,,,1.0,toshi,その本は私のものです。,品詞の基本,代名詞,0,free_writing,2,2,The book is mine.,ai_generated,TRUE
,,,,1.0,toshi,彼らは音楽が好きです。彼らはよく歌を歌います。,品詞の基本,代名詞,0,free_writing,2,2,They like music. They often sing songs.,ai_generated,TRUE
,,,,1.0,toshi,彼は猫を飼っています。猫の名前はトムです。,品詞の基本,代名詞,0,free_writing,2,2,He has a cat. Its name is Tom.,ai_generated,TRUE
,,,,1.0,toshi,この本は彼女のものです。,品詞の基本,代名詞,0,free_writing,2,2,This book is hers.,ai_generated,TRUE
,,,,1.0,toshi,私たちはあなたと一緒に来ました。,品詞の基本,代名詞,0,free_writing,2,2,We came with you.,ai_generated,TRUE
,,,,1.0,toshi,これは私たちの家です。,品詞の基本,代名詞,0,free_writing,2,2,This is our house.,ai_generated,TRUE
,,,,1.0,toshi,彼女は彼らを知っています。,品詞の基本,代名詞,0,free_writing,2,2,She knows them.,ai_generated,TRUE
,,,,1.0,toshi,それは彼のかばんです。,品詞の基本,代名詞,0,free_writing,2,2,That is his bag.,ai_generated,TRUE
,,,,1.0,toshi,私は彼と公園に行きました。,品詞の基本,代名詞,0,free_writing,2,2,I went to the park with him.,ai_generated,TRUE
,,,,1.0,toshi,あれは私たちの教室です。,品詞の基本,代名詞,0,free_writing,2,2,That is our classroom.,ai_generated,TRUE
,,,,1.0,toshi,彼女の名前はメアリーです。,品詞の基本,代名詞,0,free_writing,2,2,Her name is Mary.,ai_generated,TRUE
,,,,1.0,toshi,これはあなたの帽子ですか？,品詞の基本,代名詞,0,free_writing,2,2,Is this your hat?,ai_generated,TRUE
,,,,1.0,toshi,彼らはそれを使います。,品詞の基本,代名詞,0,free_writing,2,2,They use it.,ai_generated,TRUE
,,,,1.0,toshi,その犬は私のです。,品詞の基本,代名詞,0,free_writing,2,2,The dog is mine.,ai_generated,TRUE
,,,,1.0,toshi,私たちはその映画が好きです。,品詞の基本,代名詞,0,free_writing,2,2,We like the movie.,ai_generated,TRUE
,,,,1.0,toshi,彼はあの机を使います。,品詞の基本,代名詞,0,free_writing,2,2,He uses that desk.,ai_generated,TRUE
,,,,1.0,toshi,これはトムの帽子です。,品詞の基本,代名詞,0,free_writing,2,2,This is Tom's hat.,ai_generated,TRUE
,,,,1.0,toshi,これらは新しい靴です。,品詞の基本,代名詞,0,free_writing,2,2,These are new shoes.,ai_generated,TRUE
,,,,1.0,toshi,あれらは彼女のかばんです。,品詞の基本,代名詞,0,free_writing,2,2,Those are her bags.,ai_generated,TRUE
,,,,1.0,toshi,トムの犬は大きいです。,品詞の基本,代名詞,0,free_writing,2,2,Tom's dog is big.,ai_generated,TRUE
,,,,1.0,toshi,あれらの時計は古いです。,品詞の基本,代名詞,0,free_writing,2,2,Those watches are old.,ai_generated,TRUE
,,,,1.0,toshi,これは私の友達の部屋です。,品詞の基本,代名詞,0,free_writing,2,2,This is my friend's room.,ai_generated,TRUE
,,,,1.0,toshi,あれは私の友達の本です。,品詞の基本,代名詞,0,free_writing,2,2,That is my friend's book.,ai_generated,TRUE
,,,,1.0,toshi,これは私の友達たちの机です。,品詞の基本,代名詞,0,free_writing,2,2,This is my friends' desk.,ai_generated,TRUE
,,,,1.0,toshi,これらの写真はきれいです。,品詞の基本,代名詞,0,free_writing,2,2,These pictures are beautiful.,ai_generated,TRUE
,,,,1.0,toshi,あれらは私の友達の自転車です。,品詞の基本,代名詞,0,free_writing,2,2,Those are my friends' bikes.,ai_generated,TRUE